Company,Country,Industry,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,Label
Wizz Air issue,Hungary,Aviation,1.038,1.151,2.274,1.78,1.473,1.126,0.897,0.5,Fraud
Longtop Financial,China,Financial Services,1.941,1.252,1.907,1.942,0.79,0.992,1.627,-0.1384,Fraud
Dana Air,Nigeria,Aviation,1.866,1.624,1.174,1.413,1.69,1.149,0.916,-0.2,Fraud
Lordstown 2021,USA,Electric Vehicles,1.679,1.136,1.878,2.175,1.169,1.331,1.535,-0.2,Fraud
SK Telecom,South Korea,Telecommunications,0.947,1.396,1.241,1.159,0.6,0.857,1.053,0.1476,Legit
DO&CO AG,Austria,Food Services,1.862,1.459,1.664,2.435,1.724,1.026,1.622,-0.1844,Fraud
Flyr AS,Norway,Aviation,2.127,1.223,1.423,1.772,0.934,0.774,1.204,-0.1396,Fraud
NMC Health,UAE,Healthcare,1.571,1.099,1.356,1.169,1.103,1.25,1.622,-0.2,Fraud
Jiwasraya Insurance,Indonesia,Insurance,1.338,1.154,1.571,1.924,1.336,1.137,1.379,0.0389,Fraud
Siemens AG,Germany,Industrial,1.076,1.391,1.578,0.678,0.784,1.171,1.399,0.2138,Legit
Aralez Pharma,Canada,Pharmaceuticals,1.723,1.612,1.528,2.021,0.773,0.887,0.747,0.3346,Fraud
Dangote Cement 2018,Nigeria,Construction,1.42,0.702,1.747,1.037,0.745,0.857,0.615,0.2601,Legit
HBL Pakistan 2016,Pakistan,Banking,0.922,0.999,0.851,0.747,1.705,0.604,0.684,0.0143,Legit
Zalando issues,Germany,E-commerce,1.244,1.311,1.165,2.1,1.223,1.248,1.323,-0.0962,Fraud
Novartis AG,Switzerland,Pharmaceuticals,0.659,1.534,1.283,0.983,0.911,1.414,1.115,-0.0335,Legit
Nishat Mills,Pakistan,Textiles,0.664,0.3,0.828,1.057,0.884,0.662,0.963,-0.0017,Legit
Jiwasraya 2019,Indonesia,Insurance,2.133,1.209,1.902,1.871,1.208,1.086,0.925,0.5,Fraud
Pioneer Natural Resources,USA,Oil & Gas,0.364,1.158,0.891,0.563,1.085,0.3,0.881,0.4688,Legit
Nestle 2017,Switzerland,Food & Beverages,0.837,1.273,1.094,1.18,1.284,1.238,0.921,-0.1499,Legit
NMC Health 2018,UAE,Healthcare,1.743,1.486,1.862,1.538,1.368,1.299,1.499,-0.2,Fraud
PSO Pakistan 2019,Pakistan,Oil & Gas,0.3,1.591,1.298,2.107,0.704,0.666,1.131,0.0427,Legit
Odebrecht 2016,Brazil,Construction,2.175,1.658,1.651,1.801,1.628,1.406,1.267,0.3944,Fraud
Byco 2017,Pakistan,Oil & Gas,1.054,1.448,2.005,2.312,1.522,0.659,1.034,0.0754,Fraud
Satyam 2006,India,IT Services,1.854,1.506,1.298,2.357,1.517,1.169,0.574,0.2872,Fraud
Bhushan Steel,India,Steel,1.334,1.537,2.011,2.09,1.513,1.207,1.05,0.0182,Fraud
Azgard Nine 2010,Pakistan,Textiles,2.076,1.479,1.099,1.799,1.614,1.277,0.995,0.3135,Fraud
Alphabet Inc,USA,Technology,1.338,0.852,0.993,1.587,0.3,1.459,1.26,0.1738,Legit
SimCorp,Denmark,Software,0.909,1.171,1.444,1.042,1.303,0.773,1.308,0.1745,Legit
Microsoft 2019,USA,Software,0.3,1.184,1.401,1.253,1.033,0.975,0.89,0.2597,Legit
Itau Unibanco,Brazil,Banking,1.483,1.119,1.189,1.131,1.021,0.884,0.756,0.007,Legit
Meituan,China,Technology,1.013,0.425,0.51,1.564,1.422,0.933,0.966,0.5,Legit
Toyota 2017,Japan,Automotive,1.111,1.115,1.351,0.963,1.118,1.073,1.357,0.3037,Legit
Bajaj Auto,India,Automotive,1.029,0.761,0.882,1.389,1.172,0.86,0.913,-0.0854,Legit
NIB Bank Pakistan,Pakistan,Banking,1.974,1.456,1.171,2.001,0.576,1.48,1.109,-0.1843,Fraud
TD Bank Group,Canada,Banking,0.783,1.211,1.313,1.556,1.251,1.204,0.492,0.2934,Legit
Enron 1999,USA,Energy,1.329,1.134,1.511,1.637,1.204,0.793,1.142,0.2711,Fraud
BT Group 2017,UK,Telecommunications,1.574,1.235,1.681,1.493,1.073,1.097,1.052,0.0082,Fraud
iQIYI 2020,China,Media,1.415,1.306,1.358,1.502,1.307,0.939,1.004,0.2697,Fraud
Outokumpu,Finland,Steel,1.026,0.951,0.925,1.505,1.009,1.221,0.971,-0.0119,Legit
Workhorse Group,USA,Electric Vehicles,1.753,1.529,1.476,2.115,0.841,1.125,0.946,0.4584,Fraud
PSO Pakistan 2018,Pakistan,Oil & Gas,0.886,1.504,0.707,1.083,1.179,0.471,0.763,-0.2,Legit
Colony Sugar Mills,Pakistan,Food & Beverages,1.385,1.757,2.299,2.328,0.601,0.964,1.199,0.5,Fraud
DocuSign,USA,Software,0.81,0.838,1.121,1.149,0.929,1.032,1.169,-0.2,Legit
GlaxoSmithKline Pakistan,Pakistan,Pharmaceuticals,1.084,0.943,0.604,1.323,0.953,1.526,0.809,0.3739,Legit
SPAR Group,South Africa,Retail,2.137,1.309,1.477,1.756,0.989,1.656,0.921,0.5,Fraud
National Bank Canada,Canada,Banking,1.207,0.479,1.327,0.879,1.608,0.687,0.587,0.0726,Legit
LVMH,France,Luxury Goods,0.607,1.183,0.415,0.974,1.166,1.204,0.966,-0.0648,Legit
Novo Nordisk,Denmark,Pharmaceuticals,1.028,1.293,1.595,1.056,1.086,1.044,1.504,0.242,Legit
Pfizer Inc,USA,Pharmaceuticals,1.353,1.469,1.118,0.823,1.13,0.901,0.985,-0.2,Legit
Experian PLC,UK,Financial Services,1.585,1.358,1.093,0.755,1.225,0.776,0.77,0.237,Legit
Engro Corp 2016,Pakistan,Conglomerate,0.496,1.072,0.863,0.992,0.667,0.966,1.038,0.31,Legit
Canoo Inc,USA,Electric Vehicles,1.835,0.913,1.972,1.757,1.5,1.25,1.229,-0.1692,Fraud
China Mobile,China,Telecommunications,0.848,1.116,0.387,0.994,0.92,1.453,0.882,-0.0877,Legit
PIBTL fraud,Pakistan,Telecommunications,1.544,0.789,2.043,2.138,1.087,1.414,1.311,0.2713,Fraud
Yes Bank,India,Banking,1.536,1.256,1.611,2.109,0.685,1.187,0.902,0.0722,Fraud
Saudi Aramco,Saudi Arabia,Oil & Gas,0.752,1.008,0.643,1.451,1.06,1.377,0.458,0.3374,Legit
Keyuan Petrochemicals,China,Chemicals,1.036,0.836,1.476,1.415,1.228,0.733,1.35,-0.2,Fraud
Diageo,UK,Beverages,0.883,1.163,0.985,1.472,0.602,0.968,0.72,-0.2,Legit
First Bank Nigeria,Nigeria,Banking,0.3,1.09,1.346,1.65,0.84,0.831,0.945,0.3173,Legit
Packages Limited,Pakistan,Packaging,0.841,0.919,0.546,1.291,0.874,1.021,1.206,-0.1261,Legit
Berkshire Hathaway,USA,Conglomerate,1.124,0.855,1.481,1.124,1.491,0.972,0.868,-0.2,Legit
Smith & Nephew,UK,Medical Devices,0.953,0.321,0.837,1.521,1.836,0.593,0.3,0.2503,Legit
Symbol Technologies,USA,Technology,1.448,1.116,0.984,1.972,0.723,1.261,1.145,0.0747,Fraud
Hascol 2018,Pakistan,Oil & Gas,1.969,1.405,1.173,1.879,1.046,1.397,1.013,-0.0905,Fraud
Faraday Future,USA,Electric Vehicles,1.468,1.409,1.564,1.666,1.018,1.439,1.205,0.2048,Fraud
CD Projekt fraud,Poland,Gaming,2.091,1.305,1.478,1.624,1.3,1.257,0.884,0.3638,Fraud
IL&FS 2018,India,Financial Services,1.158,1.512,1.495,2.33,1.362,0.689,1.668,-0.1367,Fraud
Olympus Corporation,Japan,Electronics,1.039,1.724,1.503,1.377,1.251,1.343,1.579,0.2627,Fraud
Evergrande 2019,China,Real Estate,1.377,1.576,1.806,2.24,1.318,0.71,1.202,0.3933,Fraud
DNB Bank,Norway,Banking,0.895,0.964,0.672,1.302,0.877,1.194,0.928,-0.0222,Legit
Cloudflare,USA,Technology,1.102,0.535,1.057,1.697,0.727,0.825,1.294,0.2675,Legit
NMC Health 2018,UAE,Healthcare,1.65,1.202,1.635,1.766,1.109,1.37,1.433,0.2434,Fraud
Phibro Animal Health,USA,Animal Health,1.541,1.615,2.051,1.861,1.151,0.737,1.302,0.5,Fraud
Digital Ally,USA,Technology,0.842,0.77,0.666,0.909,1.032,0.929,1.462,-0.2,Legit
Shopify 2020,Canada,E-commerce,0.886,0.476,1.777,1.981,1.511,1.138,1.327,-0.0356,Legit
BiOptio Diagnostics,Sweden,Medical Devices,2.386,1.46,1.364,1.818,0.869,1.224,0.621,0.5,Fraud
Sandvik AB,Sweden,Industrial,0.685,0.775,1.338,1.356,1.22,1.036,0.722,0.0008,Legit
Amerisur Resources,UK,Oil & Gas,1.678,1.812,1.348,1.909,1.41,0.957,1.585,-0.1149,Fraud
OGDC 2020,Pakistan,Oil & Gas,1.07,1.057,1.117,1.927,1.125,1.065,1.261,-0.1442,Legit
Intertek Group,UK,Testing Services,1.2,1.087,0.713,1.173,1.327,0.954,1.062,0.0236,Legit
AXA Group,France,Insurance,1.113,1.642,1.023,1.233,0.546,1.191,0.488,-0.0846,Legit
Falabella,Chile,Retail,1.002,0.78,0.852,0.997,1.183,1.127,1.135,-0.0604,Legit
Agha Steel Industries,Pakistan,Steel,1.585,1.334,1.352,1.388,1.387,1.441,1.281,-0.0981,Fraud
GCM Resources,UK,Mining,2.16,1.568,2.331,1.697,1.098,0.998,0.472,-0.0654,Fraud
Kerry Group,Ireland,Food & Beverages,0.931,1.282,0.909,1.459,0.764,0.806,1.552,-0.2,Legit
Kirin Holdings,Japan,Beverages,0.818,0.763,1.172,1.416,0.848,1.473,1.019,0.5,Legit
Anthem Inc,USA,Healthcare Insurance,1.258,1.049,0.633,1.483,1.395,1.292,0.407,-0.2,Legit
Sify Technologies,India,IT Services,1.428,1.108,1.589,1.864,0.533,1.24,0.83,0.1765,Fraud
Moderna Inc,USA,Biotechnology,0.998,1.059,0.97,1.538,1.291,1.543,0.665,0.0118,Legit
Progressive Corporation,USA,Insurance,0.789,0.816,0.809,0.9,1.029,1.364,0.858,-0.2,Legit
Vesttoo 2022,Israel,Insurance,1.983,1.437,1.606,2.257,1.593,0.909,1.078,0.4879,Fraud
Kraft Heinz 2018,USA,Food & Beverages,1.051,1.14,1.869,1.221,1.235,1.241,1.51,-0.038,Fraud
Alphabet 2016,USA,Technology,1.012,0.464,1.892,1.529,0.914,0.93,0.785,-0.1257,Legit
Snowflake Inc,USA,Software,0.918,1.385,1.373,1.119,1.024,1.002,0.802,-0.2,Legit
Bank of China,China,Banking,1.143,1.161,0.43,0.732,0.626,1.12,0.703,-0.2,Legit
SME Bank Pakistan,Pakistan,Banking,1.323,1.829,1.741,1.867,1.571,1.487,1.564,0.19,Fraud
Novavax issues,USA,Biotechnology,1.601,1.629,0.837,1.652,0.708,1.068,1.515,0.2398,Fraud
Bear Stearns,USA,Financial Services,1.461,1.27,2.144,0.849,0.872,1.597,1.656,0.1446,Fraud
K-Electric irreg,Pakistan,Utilities,2.002,1.186,1.105,2.068,1.035,1.11,0.803,0.5,Fraud
General Communication,USA,Telecommunications,0.636,0.624,0.967,1.16,0.999,1.013,0.736,-0.2,Legit
EastLink,Canada,Telecommunications,1.214,1.178,1.23,1.314,0.99,1.037,0.881,-0.0829,Legit
Apple 2017,USA,Consumer Electronics,0.807,0.491,1.202,1.389,0.729,1.009,1.54,-0.2,Legit
Amadeus IT Group,Spain,Software,1.146,1.448,1.205,0.477,1.137,0.583,0.496,0.4282,Legit
Power Corporation,Canada,Conglomerate,0.874,0.863,1.661,1.397,1.136,1.448,1.049,0.0514,Legit
Equity Funding 1973,USA,Insurance,1.359,1.415,1.986,2.037,1.048,0.561,1.433,-0.0987,Fraud
Vale SA,Brazil,Mining,0.382,1.733,1.21,1.127,1.008,1.092,0.711,-0.2,Legit
Meezan Bank,Pakistan,Banking,0.902,0.83,1.328,1.224,1.134,0.658,1.484,0.1947,Legit
Gilead Sciences,USA,Biotechnology,1.012,1.178,0.488,1.195,0.879,1.174,0.834,0.4114,Legit
Hoya Corporation,Japan,Healthcare,1.29,1.002,1.239,0.862,0.669,0.906,0.94,0.4886,Legit
Target Corporation,USA,Retail,1.039,0.87,1.115,1.657,1.401,1.146,0.992,0.076,Legit
Katapult Holdings,USA,Financial Services,1.789,1.594,1.837,2.049,1.32,1.299,1.092,0.2844,Fraud
Vringo Inc,USA,Technology,1.731,1.616,1.588,2.208,0.969,0.379,0.742,0.3614,Fraud
Raiffeisen Int issue,Austria,Banking,1.714,1.692,1.179,1.504,1.11,1.293,1.632,0.1831,Fraud
Idorsia Pharma,Switzerland,Pharmaceuticals,0.927,0.995,1.163,0.868,1.068,1.09,0.582,-0.0532,Legit
Paramount Spinning,Pakistan,Textiles,1.456,1.397,1.27,1.856,1.057,1.914,0.768,0.5,Fraud
Saradha Group,India,Financial Services,1.516,1.518,2.366,2.132,1.19,1.586,1.843,0.0575,Fraud
Huhtamaki,Finland,Packaging,1.547,1.518,1.688,0.844,0.3,0.677,0.816,0.4059,Legit
Parmalat 2001,Italy,Food & Beverages,2.059,1.225,1.905,1.86,0.927,1.417,1.252,0.0037,Fraud
Shoprite Holdings,South Africa,Retail,0.3,1.493,1.253,1.249,0.699,0.998,1.068,0.2139,Legit
Orion Corporation,Finland,Pharmaceuticals,0.703,1.274,0.666,1.2,1.145,1.072,0.706,-0.0031,Legit
Deer Holdings,China,Industrial,1.834,1.319,1.838,1.345,1.122,1.278,1.404,-0.2,Fraud
PAIR Investment,Pakistan,Financial Services,1.753,1.383,1.693,1.599,0.953,1.268,1.221,-0.1248,Fraud
CSL Limited,Australia,Biotechnology,0.726,1.137,1.798,1.398,1.062,0.51,1.107,0.2225,Legit
Luckin 2019,China,Food & Beverages,1.775,1.716,1.724,1.607,1.269,0.942,1.803,0.285,Fraud
SEI Investments,USA,Financial Services,0.749,0.906,1.562,1.263,0.842,0.798,1.138,0.5,Legit
Cherat Cement,Pakistan,Construction,1.179,0.991,0.912,1.206,0.996,1.218,1.485,0.5,Legit
Ferrari NV,Italy,Automotive,1.505,1.322,0.504,1.315,1.111,1.677,1.579,-0.2,Legit
STMicroelectronics,Switzerland,Semiconductors,1.049,1.036,0.941,1.468,0.661,1.513,1.595,-0.0971,Legit
DP World,UAE,Logistics,1.19,0.694,1.222,1.202,0.912,0.681,1.001,-0.0037,Legit
Luxottica,Italy,Consumer Goods,1.475,0.861,0.834,0.692,0.821,0.708,0.991,-0.185,Legit
TSMC 2021,Taiwan,Semiconductors,0.753,1.283,1.162,1.96,1.007,1.03,0.981,-0.2,Legit
GTL Infrastructure,India,Telecommunications,1.509,1.133,1.304,2.436,1.412,1.42,1.322,0.1535,Fraud
Nippon Telegraph,Japan,Telecommunications,0.869,0.884,1.14,0.915,1.037,0.78,0.5,0.0912,Legit
Shaw Communications,Canada,Telecommunications,1.008,1.175,1.493,0.947,1.266,0.725,1.182,-0.0439,Legit
Ideanomics,USA,Electric Vehicles,2.06,1.472,1.858,2.855,1.412,1.092,0.943,0.5,Fraud
Pescanova,Spain,Food & Beverages,1.424,1.477,1.676,2.09,1.093,1.297,1.902,-0.2,Fraud
Guaranty Trust,Nigeria,Banking,0.938,1.079,0.735,1.114,1.158,1.346,0.638,-0.2,Legit
Sony Group,Japan,Electronics,1.235,1.155,0.871,1.312,0.831,1.429,1.34,0.2644,Legit
Edwards Lifesciences,USA,Medical Devices,1.173,0.789,0.676,1.005,0.318,0.852,0.749,-0.1816,Legit
Systems Ltd 2017,Pakistan,IT Services,0.453,0.978,0.618,0.683,0.431,0.99,0.81,-0.2,Legit
Azgard 2008,Pakistan,Textiles,1.628,0.967,1.769,1.104,1.202,1.247,1.122,0.0727,Fraud
Nortel 2002,Canada,Telecommunications,1.586,1.451,1.833,2.478,1.338,0.81,1.513,-0.2,Fraud
Sanofi,France,Pharmaceuticals,1.138,0.753,1.082,1.182,1.445,1.322,0.561,-0.1232,Legit
OGDC 2019,Pakistan,Oil & Gas,1.74,0.899,1.517,1.797,0.692,0.794,1.335,0.5,Legit
1MDB,Malaysia,Government Finance,1.52,1.567,1.396,1.357,1.427,0.539,1.81,0.0189,Fraud
Lotte Chemical,Pakistan,Chemicals,0.937,1.267,1.181,1.337,0.897,1.365,0.471,-0.2,Legit
Hindustan Unilever,India,Consumer Goods,0.978,1.144,1.168,0.946,1.411,0.819,0.3,0.0806,Legit
Dewan Farooque 2007,Pakistan,Automotive,2.274,1.477,1.736,1.97,1.027,1.239,1.698,0.3467,Fraud
Loblaw Companies,Canada,Retail,0.412,0.878,0.781,0.866,1.309,0.597,1.183,-0.0439,Legit
Nintendo Co,Japan,Gaming,0.782,0.986,0.956,1.849,0.848,0.916,1.285,-0.0757,Legit
Palo Alto Networks,USA,Cybersecurity,1.124,0.755,0.335,0.634,1.114,1.089,1.164,-0.2,Legit
Apple Inc,USA,Consumer Electronics,1.084,1.16,1.154,1.818,1.051,0.882,1.006,-0.1424,Legit
Westpac Banking,Australia,Banking,0.798,0.823,1.364,0.787,1.43,0.634,0.875,0.4547,Legit
Naver Corporation,South Korea,Technology,0.743,1.077,1.402,1.392,1.454,0.851,1.149,-0.111,Legit
Safe Mix Concrete,Pakistan,Construction,2.263,1.281,1.464,1.831,1.407,1.382,1.55,0.4634,Fraud
Neste Corporation,Finland,Oil & Gas,0.74,1.455,1.557,1.155,0.94,0.741,1.06,0.5,Legit
Wirecard Romania,Romania,Fintech,1.706,1.746,1.527,1.815,1.167,0.784,0.958,0.0401,Fraud
Pakistan State Oil,Pakistan,Oil & Gas,0.527,0.944,1.247,1.121,1.379,0.754,1.22,-0.2,Legit
Absa Group,South Africa,Banking,1.28,0.483,0.829,1.258,1.299,1.213,0.895,0.2305,Legit
Valeant Pharmaceuticals,Canada,Pharmaceuticals,1.644,1.191,2.058,2.273,0.841,1.059,1.028,0.1148,Fraud
BioAtla Inc,USA,Biotechnology,1.467,1.049,1.139,0.653,1.367,1.656,1.075,0.1231,Legit
ASML Holding,Netherlands,Semiconductors,1.343,1.403,1.068,1.079,1.31,0.659,1.004,0.2593,Legit
Agha Steel 2021,Pakistan,Steel,1.527,1.44,1.357,2.024,1.225,0.512,1.563,0.0148,Fraud
Pengrowth Energy,Canada,Oil & Gas,1.624,0.88,2.131,2.03,1.107,1.122,1.006,0.0208,Fraud
Fiverr International,Israel,Technology,0.801,0.763,0.99,0.915,1.038,1.034,0.734,-0.1028,Legit
Eli Lilly,USA,Pharmaceuticals,1.011,0.31,0.671,1.016,0.985,0.532,1.035,-0.0598,Legit
Eni SpA,Italy,Oil & Gas,0.572,0.849,0.641,1.25,1.386,0.469,1.125,0.2869,Legit
Agha Steel 2020,Pakistan,Steel,1.461,1.335,1.832,1.971,1.17,1.154,1.041,-0.1966,Fraud
BYD Company,China,Electric Vehicles,1.149,0.559,0.781,1.061,0.396,1.097,0.635,-0.2,Legit
Novo Nordisk 2021,Denmark,Pharmaceuticals,0.99,1.488,1.309,1.959,0.894,1.438,0.893,0.0713,Legit
Lincoln National,USA,Insurance,1.025,1.076,1.279,0.98,1.114,1.346,1.218,-0.2,Legit
Gentiva Health,USA,Healthcare,1.713,1.587,1.719,1.747,1.226,1.092,1.412,0.3831,Fraud
Hollinger International,USA,Media,1.127,1.295,1.842,1.154,0.83,0.692,1.235,-0.2,Fraud
Bridgestone,Japan,Automotive,1.282,1.263,0.98,2.23,0.354,0.859,0.977,0.0066,Legit
Lernout Hauspie 1999,Belgium,Technology,1.728,1.621,1.892,1.316,0.998,1.634,1.239,0.4414,Fraud
Lotte Corporation,South Korea,Conglomerate,1.535,0.919,0.92,0.585,0.756,1.059,1.324,0.4017,Legit
Bestway Cement fraud,Pakistan,Construction,2.06,1.356,1.645,1.914,1.519,1.131,0.76,0.5,Fraud
Orsted AS,Denmark,Renewable Energy,1.239,1.351,1.631,0.795,0.719,0.969,1.386,0.1539,Legit
Global Crossing,USA,Telecommunications,1.638,1.714,1.735,2.151,1.008,0.36,1.521,0.1836,Fraud
Ameriprise Financial,USA,Financial Services,1.11,0.876,1.342,1.117,1.494,0.968,1.07,-0.2,Legit
Newpark Resources,USA,Oil Services,1.475,0.974,1.638,2.282,1.427,1.642,1.181,0.4208,Fraud
Soco International,UK,Oil & Gas,1.582,1.485,1.792,2.636,1.116,1.579,0.966,0.0884,Fraud
UiPath Inc,USA,Software,1.34,1.065,1.648,1.412,1.297,1.03,0.908,0.2933,Legit
Tri-Pack Films,Pakistan,Packaging,1.663,0.963,2.213,2.05,1.576,1.105,0.952,0.4309,Fraud
Petron Corp,Philippines,Oil & Gas,1.993,1.557,1.6,2.233,1.821,1.003,1.319,-0.0494,Fraud
Atlas Honda,Pakistan,Automotive,1.268,1.433,0.924,1.44,0.487,1.015,1.339,-0.2,Legit
Arif Habib Corp issue,Pakistan,Financial Services,1.275,1.438,1.791,1.828,1.035,0.889,1.568,0.1618,Fraud
Banco de Chile,Chile,Banking,1.31,1.713,1.087,1.372,0.829,0.607,1.062,-0.2,Legit
Hascol 2017,Pakistan,Oil & Gas,1.842,1.89,1.068,2.108,1.562,0.908,0.78,0.0998,Fraud
Hana Microdisplay,USA,Technology,2.069,1.519,2.031,2.222,1.132,1.45,1.374,0.3028,Fraud
Wartsila,Finland,Industrial,1.171,1.356,0.791,0.821,0.88,0.934,0.362,0.1816,Legit
Zoom Video,USA,Software,0.886,0.501,1.157,1.498,1.185,0.968,1.452,-0.1838,Legit
Lightspeed 2020,Canada,Software,0.789,1.113,1.358,1.735,0.666,1.033,0.613,0.0752,Legit
Bumi Resources,Indonesia,Coal Mining,1.963,1.195,1.693,1.515,1.011,0.45,1.442,0.5,Fraud
Ajinomoto Co,Japan,Food & Beverages,1.164,1.275,1.634,1.458,0.876,0.554,0.637,0.2659,Legit
Amazon Inc,USA,E-commerce,0.3,1.157,0.681,2.353,1.247,0.37,1.052,0.0181,Legit
PSO Pakistan 2016,Pakistan,Oil & Gas,0.894,1.341,0.842,1.19,1.673,0.3,1.617,0.2416,Legit
Novo Nordisk 2019,Denmark,Pharmaceuticals,1.219,0.861,0.742,1.849,0.569,0.818,0.765,-0.137,Legit
Superior Energy,USA,Oil Services,1.486,1.336,1.983,1.7,1.023,0.839,1.01,0.12,Fraud
Ping An Insurance,China,Insurance,1.355,0.708,1.126,0.874,0.887,1.049,1.378,-0.1183,Legit
Metrogas Argentina,Argentina,Utilities,2.06,1.846,1.402,1.371,1.829,0.924,1.541,0.5,Fraud
OGDC 2016,Pakistan,Oil & Gas,0.6,0.938,0.797,1.029,1.03,1.007,1.047,-0.1573,Legit
SoftBank Corp,Japan,Telecommunications,0.49,1.213,1.691,0.675,1.241,1.164,0.855,0.0579,Legit
Dai-ichi Life,Japan,Insurance,0.993,1.561,0.795,1.44,1.172,0.742,1.318,-0.1983,Legit
Samsung 2017,South Korea,Electronics,1.181,0.872,1.051,1.747,0.453,0.705,0.531,-0.2,Legit
Ventas Inc 2018,USA,Real Estate,1.954,1.513,1.886,1.348,1.159,0.768,1.442,0.2597,Fraud
Wirecard 2017,Germany,Fintech,1.989,1.667,0.955,2.136,0.751,1.413,1.246,0.5,Fraud
Tesco 2013,UK,Retail,1.434,2.013,1.369,2.315,1.766,1.14,1.152,-0.0119,Fraud
Didi Global issue,China,Transportation,0.994,1.21,1.304,2.172,1.415,1.426,1.699,-0.0636,Fraud
Forbes Energy,USA,Oil Services,2.246,1.62,1.765,1.504,1.408,0.929,1.305,0.1106,Fraud
FTX Exchange,Bahamas,Cryptocurrency,1.55,0.897,2.07,2.18,0.844,1.106,0.899,0.233,Fraud
Canadian Natural,Canada,Oil & Gas,1.156,0.612,0.972,1.367,0.958,1.059,0.999,0.1748,Legit
Weatherford International,Ireland,Oil Services,1.641,1.859,1.647,1.612,1.213,1.009,2.063,0.5,Fraud
Tata Consultancy,India,IT Services,0.967,0.588,0.918,1.338,0.753,0.749,0.3,0.1624,Legit
WorldCall Telecom,Pakistan,Telecommunications,1.255,1.604,1.425,1.636,0.484,1.61,0.514,0.2517,Fraud
ProQR Therapeutics,Netherlands,Biotechnology,1.166,1.181,1.529,2.382,1.0,1.132,1.208,-0.2,Fraud
TSMC 2017,Taiwan,Semiconductors,1.021,1.155,0.578,0.963,1.053,1.419,0.793,-0.12,Legit
CRH PLC,Ireland,Construction,0.579,1.175,1.191,1.1,1.499,0.829,1.308,-0.1708,Legit
Hollysys Automation,China,Industrial,2.502,1.233,1.219,2.839,0.516,1.58,0.785,0.2109,Fraud
Yara International,Norway,Chemicals,0.869,0.697,0.801,0.763,1.131,1.091,1.396,0.5,Legit
Costco Wholesale,USA,Retail,1.209,1.439,0.966,0.894,1.042,1.008,0.707,0.2769,Legit
Celsius Network,USA,Cryptocurrency,1.334,0.925,1.665,1.522,0.679,1.69,0.962,0.0536,Fraud
Hermes International,France,Luxury Goods,1.311,0.3,1.506,0.637,0.686,1.124,1.338,-0.2,Legit
Parmalat 2002,Italy,Food & Beverages,1.718,1.163,1.652,2.408,1.374,1.143,1.381,0.2776,Fraud
Alphabet 2021,USA,Technology,0.742,1.216,1.912,1.416,1.285,0.3,0.965,0.3872,Legit
Satyam 2007,India,IT Services,1.441,1.195,1.168,2.324,1.485,0.985,1.09,-0.2,Fraud
Nordex SE,Germany,Renewable Energy,1.404,1.675,1.028,2.123,1.204,1.256,0.714,0.094,Fraud
Bayer AG,Germany,Pharmaceuticals,1.043,1.201,1.776,0.979,1.26,0.841,0.899,-0.0548,Legit
Can-Fite BioPharma,Israel,Biotechnology,1.784,1.448,1.132,1.758,1.185,1.439,0.843,0.4515,Fraud
Manpasand Beverages,India,Food & Beverages,2.468,1.676,2.053,2.312,1.653,0.616,1.103,-0.1763,Fraud
Transurban Group,Australia,Infrastructure,0.345,0.947,1.41,1.297,1.309,1.686,1.108,0.3231,Legit
Deccan Chronicle,India,Media,1.465,1.475,1.303,1.589,1.037,0.873,1.894,-0.2,Fraud
CNOOC Limited,China,Oil & Gas,1.288,0.3,1.1,0.864,1.148,1.271,0.434,0.1027,Legit
C3.ai Inc,USA,Software,0.339,0.444,1.071,0.554,1.362,1.017,1.294,-0.2,Legit
Engro Corporation,Pakistan,Conglomerate,1.048,0.843,0.969,1.366,0.479,1.168,0.842,-0.2,Legit
Hikma Pharmaceuticals,UK,Pharmaceuticals,0.394,1.041,1.429,1.682,1.149,1.026,1.323,-0.2,Legit
McDermott International,USA,Construction,1.105,1.413,2.004,1.683,1.296,0.686,1.908,0.1487,Fraud
UTStarcom,USA/China,Technology,1.702,1.566,1.528,2.013,1.639,1.491,1.822,-0.2,Fraud
Belden Inc,USA,Networking,1.434,0.909,0.982,1.407,1.327,0.637,1.573,-0.1008,Legit
Homestore Inc,USA,Technology,2.347,1.912,1.484,1.908,1.373,0.955,0.769,0.207,Fraud
Amazon 2015,USA,E-commerce,1.067,0.654,1.614,1.613,1.483,0.9,0.975,-0.2,Legit
NovaBay Pharma,USA,Pharmaceuticals,1.607,1.885,1.518,2.18,1.251,0.691,1.558,0.3304,Fraud
Parmalat SpA,Italy,Food & Beverages,1.431,1.387,2.018,1.565,1.404,1.06,1.347,0.236,Fraud
Air Products,USA,Chemicals,0.589,1.608,1.673,1.029,0.836,1.457,0.648,-0.2,Legit
Allianz SE,Germany,Insurance,0.916,1.161,1.898,1.323,1.394,1.114,0.937,-0.1874,Legit
Maple Leaf fraud,Pakistan,Construction,1.911,1.435,1.562,2.031,1.029,1.503,1.098,0.2102,Fraud
H&M Group,Sweden,Retail,0.967,1.105,0.871,1.199,1.133,0.961,0.763,-0.2,Legit
Sasol Limited,South Africa,Chemicals,0.82,0.92,1.167,0.984,0.684,0.367,0.738,-0.094,Legit
